Series;Time;Value
Living Room Sensor;2016-09-02T02:56:00.000Z;null
Living Room Sensor;2016-09-02T02:56:10.000Z;null
Living Room Sensor;2016-09-02T02:56:20.000Z;null
Living Room Sensor;2016-09-02T02:56:30.000Z;null
Living Room Sensor;2016-09-02T02:56:40.000Z;null
Living Room Sensor;2016-09-02T02:56:50.000Z;null
Living Room Sensor;2016-09-02T02:57:00.000Z;null
Living Room Sensor;2016-09-02T02:57:10.000Z;null
Living Room Sensor;2016-09-02T02:57:20.000Z;25.4
Living Room Sensor;2016-09-02T02:57:30.000Z;null
Living Room Sensor;2016-09-02T02:57:40.000Z;null
Living Room Sensor;2016-09-02T02:57:50.000Z;null
Living Room Sensor;2016-09-02T02:58:00.000Z;null
Living Room Sensor;2016-09-02T02:58:10.000Z;null
Living Room Sensor;2016-09-02T02:58:20.000Z;null
Living Room Sensor;2016-09-02T02:58:30.000Z;null
Living Room Sensor;2016-09-02T02:58:40.000Z;null
Living Room Sensor;2016-09-02T02:58:50.000Z;null
Living Room Sensor;2016-09-02T02:59:00.000Z;null
Living Room Sensor;2016-09-02T02:59:10.000Z;null
Living Room Sensor;2016-09-02T02:59:20.000Z;null
Living Room Sensor;2016-09-02T02:59:30.000Z;25.5
Living Room Sensor;2016-09-02T02:59:40.000Z;null
Living Room Sensor;2016-09-02T02:59:50.000Z;null
Living Room Sensor;2016-09-02T03:00:00.000Z;null
Living Room Sensor;2016-09-02T03:00:10.000Z;null
Living Room Sensor;2016-09-02T03:00:20.000Z;null
Living Room Sensor;2016-09-02T03:00:30.000Z;null
Living Room Sensor;2016-09-02T03:00:40.000Z;null
Living Room Sensor;2016-09-02T03:00:50.000Z;null
Living Room Sensor;2016-09-02T03:01:00.000Z;null
Living Room Sensor;2016-09-02T03:01:10.000Z;null
Living Room Sensor;2016-09-02T03:01:20.000Z;null
Living Room Sensor;2016-09-02T03:01:30.000Z;25.6
Living Room Sensor;2016-09-02T03:01:40.000Z;null
Living Room Sensor;2016-09-02T03:01:50.000Z;null
Living Room Sensor;2016-09-02T03:02:00.000Z;null
Living Room Sensor;2016-09-02T03:02:10.000Z;null
Living Room Sensor;2016-09-02T03:02:20.000Z;null
Living Room Sensor;2016-09-02T03:02:30.000Z;null
Living Room Sensor;2016-09-02T03:02:40.000Z;null
Living Room Sensor;2016-09-02T03:02:50.000Z;null
Living Room Sensor;2016-09-02T03:03:00.000Z;null
Living Room Sensor;2016-09-02T03:03:10.000Z;null
Living Room Sensor;2016-09-02T03:03:20.000Z;null
Living Room Sensor;2016-09-02T03:03:30.000Z;25.7
Living Room Sensor;2016-09-02T03:03:40.000Z;null
Living Room Sensor;2016-09-02T03:03:50.000Z;null
Living Room Sensor;2016-09-02T03:04:00.000Z;null
Living Room Sensor;2016-09-02T03:04:10.000Z;null
Living Room Sensor;2016-09-02T03:04:20.000Z;null
Living Room Sensor;2016-09-02T03:04:30.000Z;null
Living Room Sensor;2016-09-02T03:04:40.000Z;null
Living Room Sensor;2016-09-02T03:04:50.000Z;null
